tic,conm,fyear,sale,cogs,ni,at,sich
CVX,CHEVRON CORP,2021,155606.0,116938.0,15625.0,239535.0,2911
NU1,CONNECTICUT LIGHT & POWER CO,2021,3637.412,2629.579,401.725,13949.656,4911
CLR,CONTINENTAL RESOURCES INC,2021,5719.318,1057.737,1660.968,18591.111,1311
AES5,DPL INC,2021,672.7,511.3,22.1,2171.8,4911
D,DOMINION ENERGY INC,2021,13964.0,8179.0,3288.0,99590.0,4911
XOM,EXXON MOBIL CORP,2021,276692.0,222638.0,23040.0,338923.0,2911
NEE,NEXTERA ENERGY INC,2021,17069.0,10204.0,3573.0,140912.0,4911
FPL1,FLORIDA POWER & LIGHT CO,2021,14102.0,7292.0,3206.0,78067.0,4911
DUK9,DUKE ENERGY FLORIDA INC,2021,5259.0,3256.0,738.0,22733.0,4911
SO2,GEORGIA POWER,2021,9260.0,7321.0,584.0,48461.0,4911
